Trader Id ,Exchange ,Client Order No ,Serial No ,Instrument Type ,Instrument Name ,Code ,ScripId/Symbol ,Ser/Exp/Group ,Security Desc. ,Strike Price ,Option Type ,Order Type ,B/S ,Quantity ,Price ,Spread ,SpreadLegInfo ,Spread Price Diff ,Exchange Ord.No. ,Status ,TransactionTime ,Pro/Cli ,Client ,Disclosed Quantity ,Trigger Price ,Good Till Days/Date/Time ,Settlor ,Validity ,Total Qty Remaining ,Qty Traded ,Trade Number ,Product Type ,Initiated From ,Modified From ,Misc. ,Initiated From User Id ,Modified From User Id ,SOR ID ,Group ,Maturity Date ,COL ,Mapping Id ,SL Limit Price ,SL Trigger Price ,SL Jump Price ,LTP Jump Price ,Profit Order Price ,Leg Indicator
0 ,NSE ,1 ,3142 ,Equities , ,14567 ,BFUTILITIE ,EQ ,BF UTILITIES LIMITED , , ,RL ,S ,100 ,666.50 ,Normal , , ,0 ,Entry Request ,09:15:26 ,CLI ,DDSMS5 ,0 ,0.00 ,0 , ,DAY ,100 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,1 ,19572 ,Equities , ,14567 ,BFUTILITIE ,EQ ,BF UTILITIES LIMITED , , ,RL ,S ,100 ,666.50 ,Normal , , ,1000000000296688 ,Order Confirmed ,09:15:32 ,CLI ,DDSMS5 ,0 ,0.00 ,0 ,06074 ,DAY ,100 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
0 ,NSE ,2 ,3412 ,Equities , ,14567 ,BFUTILITIE ,EQ ,BF UTILITIES LIMITED , , ,RL ,S ,100 ,666.50 ,Normal , , ,0 ,Entry Request ,09:15:34 ,CLI ,DDSNS4 ,0 ,0.00 ,0 , ,DAY ,100 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,2 ,19650 ,Equities , ,14567 ,BFUTILITIE ,EQ ,BF UTILITIES LIMITED , , ,RL ,S ,100 ,666.50 ,Normal , , ,1000000000302784 ,Order Confirmed ,09:15:34 ,CLI ,DDSNS4 ,0 ,0.00 ,0 ,06074 ,DAY ,100 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
0 ,NSE ,3 ,27726 ,Equities , ,14567 ,BFUTILITIE ,EQ ,BF UTILITIES LIMITED , , ,RL ,S ,1000 ,666.50 ,Normal , , ,0 ,Reject Order ,09:15:41 ,CLI ,DDSVS2 ,0 ,0.00 ,0 , ,DAY ,1000 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
0 ,NSE ,4 ,9692 ,Equities , ,14567 ,BFUTILITIE ,EQ ,BF UTILITIES LIMITED , , ,RL ,S ,100 ,666.50 ,Normal , , ,0 ,Entry Request ,09:15:52 ,CLI ,DDSVS2 ,0 ,0.00 ,0 , ,DAY ,100 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,4 ,19771 ,Equities , ,14567 ,BFUTILITIE ,EQ ,BF UTILITIES LIMITED , , ,RL ,S ,100 ,666.50 ,Normal , , ,1000000000366381 ,Order Confirmed ,09:15:52 ,CLI ,DDSVS2 ,0 ,0.00 ,0 ,06074 ,DAY ,100 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
0 ,NSE ,5 ,11163 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,15 ,5710.00 ,Normal , , ,0 ,Entry Request ,09:22:01 ,CLI ,DDSPK1 ,0 ,0.00 ,0 , ,DAY ,15 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,5 ,22029 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,15 ,5710.00 ,Normal , , ,1200000001719386 ,Order Confirmed ,09:22:01 ,CLI ,DDSPK1 ,0 ,0.00 ,0 ,06074 ,DAY ,15 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,5 ,11372 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,25 ,5710.00 ,Normal , , ,1200000001719386 ,Modify Request ,09:22:26 ,CLI ,DDSPK1 ,3 ,0.00 ,0 , ,DAY ,25 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,5 ,22140 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,25 ,5710.00 ,Normal , , ,1200000001719386 ,Modify Confirmed ,09:22:26 ,CLI ,DDSPK1 ,3 ,0.00 ,0 ,06074 ,DAY ,25 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,5 ,127892 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,25 ,5710.00 ,Normal , , ,1200000001719386 ,Cancel Request ,13:58:07 ,CLI ,DDSPK1 ,3 ,0.00 ,0 , ,DAY ,25 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,5 ,132613 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,25 ,5710.00 ,Normal , , ,1200000001719386 ,Cancelled ,13:58:07 ,CLI ,DDSPK1 ,3 ,0.00 ,0 ,06074 ,DAY ,25 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
0 ,NSE ,6 ,5793 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,15 ,5690.00 ,Normal , , ,0 ,Entry Request ,09:22:39 ,CLI ,DDSMS5 ,0 ,0.00 ,0 , ,DAY ,15 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,6 ,22217 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,15 ,5690.00 ,Normal , , ,1200000001839015 ,Order Confirmed ,09:22:39 ,CLI ,DDSMS5 ,0 ,0.00 ,0 ,06074 ,DAY ,15 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,6 ,31275 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,15 ,5690.00 ,Normal , , ,1200000001839015 ,Cancel Request ,09:35:39 ,CLI ,DDSMS5 ,0 ,0.00 ,0 , ,DAY ,15 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
24380 ,NSE ,6 ,35743 ,Equities , ,16682 ,PTCIL ,EQ ,PTC INDUSTRIES LIMITED , , ,RL ,S ,15 ,5690.00 ,Normal , , ,1200000001839015 ,Cancelled ,09:35:39 ,CLI ,DDSMS5 ,0 ,0.00 ,0 ,06074 ,DAY ,15 ,0 ,0 ,Delivery ,TWS ,TWS , ,XDDJ01 ,XDDJ01 , ,HO , , ,0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,
